Black Adam,Now Showing,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods - and imprisoned just as quickly - Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",Jaume Collet-Serra,"Dwayne Johnson, Aldis Hodge, Pierce Brosnan, Noah Centineo, Sarah Shahi, Marwan Kenzari, Quintessa Swindell, Bodhi Sabongui",Blockbuster,125,PG13
Halloween Ends,Now Showing,"This is Laurie Strode’s last stand. After 45 years, the most acclaimed, revered horror franchise in film history reaches its epic, terrifying conclusion as Laurie Strode faces off for the last time against the embodiment of evil, Michael Myers, in a final confrontation unlike any captured on-screen before. Only one of them will survive. Icon Jamie Lee Curtis returns for the last time as Laurie Strode, horror’s first “final girl” and the role that launched Curtis’ career. Curtis has portrayed Laurie for more than four decades now, one of the longest actor-character pairings in cinema history. When the franchise relaunched in 2018, Halloween shattered box office records, becoming the franchise’s highest-grossing chapter and set a new record for the biggest opening weekend for a horror film starring a woman. Four years after the events of last year’s Halloween Kills, Laurie is living with her granddaughter Allyson (Andi Matichak) and is finishing writing her memoir. Michael Myers hasn’t been seen since. Laurie, after allowing the specter of Michael to determine and drive her reality for decades, has decided to liberate herself from fear and rage and embrace life. But when a young man, Corey Cunningham (Rohan Campbell; The Hardy Boys, Virgin River), is accused of killing a boy he was babysitting, it ignites a cascade of violence and terror that will force Laurie to finally confront the evil she can’t control, once and for all.",David Gordon Green,"Jamie Lee Curtis, Andi Matichak, Will Patton, James Jude Courtney, Rohan Campbell, Kyle Richards",Blockbuster,111,M18
Avatar: The Way of Water,Coming Soon,"Set more than a decade after the events of the first film, "Avatar: The Way of Water" begins to tell the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",James Cameron,"Vin Diesel, Kate Winslet, Zoe Saldana, Stephen Lang, Sam Worthington, Sigourney Weaver",Blockbuster,120,TBA
Black Panther: Wakanda Forever,Coming Soon,"Queen Ramonda, Shuri, M'Baku, Okoye and the Dora Milaje fight to protect their nation from intervening world powers in the wake of King T'Challa's death. As the Wakandans strive to embrace their next chapter, the heroes must band together with Nakia and Everett Ross to forge a new path for their beloved kingdom.",Ryan Coogler,"Lupita Nyong'o , Danai Gurira , Angela Bassett, Winston Duke, Letitia Wright , Florence Kasumba",Blockbuster,120,TBA
